Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
-0.631357929,2.617219122,-0.123713201,0.326267039,1.994004464,-0.008822529
-0.645603422,0.511503528,-1.657694888,0.346639339,1.460002273,-0.221295474
-0.466439242,0.716939196,-0.024564251,0.383309479,1.575611583,-0.236218323
-0.758003458,0.768298113,0.729644027,0.428128539,1.44811544,-0.235507711
-0.846358438,0.562862445,1.726747248,0.48109652,1.769294881,-0.238350159
-0.735543154,0.871015947,2.062563959,0.54221342,1.329834548,-0.236218323
-0.717448066,0.562862445,2.313889046,0.59925586,1.302462447,-0.229822816
-0.777199197,0.30606786,1.128174997,0.64814938,1.514400193,-0.233375876
-0.691434631,0.357426777,-0.413359743,0.68074506,1.151841107,-0.23124404
-0.68508171,0.30606786,-0.279396241,0.70926628,1.047069988,-0.234086487
-0.656028963,0.203350026,-0.210392489,0.762234261,1.092903107,-0.226269757
-0.607382623,0.665580279,-0.041725834,0.823351161,0.977943003,-0.230533428
-0.657815981,0.511503528,0.186344168,0.839649001,0.830974124,-0.224848533
-0.607399274,0.511503528,-0.078658013,0.855946841,0.729116492,-0.234797099
-0.72305596,0.254708943,-0.313746887,0.864095761,0.31021819,-0.230533428
-0.662251721,0.254708943,-0.802536922,-1.307591426,0.081625775,-0.208504461
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.171552644
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.209925684
-1.063222795,-0.875187229,-0.305807568,-1.307591426,1.764700846,0.032392959
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.084147386
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.011074603
-0.182994443,-0.669751561,0.419616152,1.014850781,-0.19539624,1.53675826
-0.19222008,-0.515674811,0.429144591,1.035223081,-0.232903466,0.460891909
